"filename", "language", "Properties", "JavaScript", "TypeScript", "JSON with Comments", "vue", "CSS", "Python", "Less", "XML", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"d:\workspace\cj\.env", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"d:\workspace\cj\.eslintrc.cjs", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"d:\workspace\cj\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 7, 32
"d:\workspace\cj\.github\workflows\privew-deloy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 5, 63
"d:\workspace\cj\.github\workflows\prview-build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 10, 47
"d:\workspace\cj\.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\workspace\cj\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"d:\workspace\cj\auto-imports.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 11
"d:\workspace\cj\components.d.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 50
"d:\workspace\cj\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\workspace\cj\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"d:\workspace\cj\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15059, 0, 0, 0, 1, 15060
"d:\workspace\cj\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 1, 72
"d:\workspace\cj\src\App.vue", "vue", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\workspace\cj\src\api\admin.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 45
