Date : 2025-07-18 17:28:28
Directory : d:\workspace\cj
Total : 111 files,  31301 codes, 551 comments, 2198 blanks, all 34050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     15,138 |          0 |          2 |     15,140 |
| vue                |         24 |     13,471 |        196 |      1,812 |     15,479 |
| TypeScript         |         34 |      1,720 |        240 |        273 |      2,233 |
| Python             |          4 |        327 |         25 |         58 |        410 |
| XML                |         35 |        309 |         81 |         14 |        404 |
| Less               |          2 |        140 |          2 |          1 |        143 |
| YAML               |          3 |        119 |          1 |         22 |        142 |
| CSS                |          1 |         23 |          4 |          8 |         35 |
| HTML               |          1 |         21 |          0 |          1 |         22 |
| JSON with Comments |          1 |         15 |          0 |          1 |         16 |
| JavaScript         |          1 |         13 |          1 |          2 |         16 |
| Properties         |          1 |          4 |          1 |          2 |          7 |
| Markdown           |          1 |          1 |          0 |          2 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |        111 |     31,301 |        551 |      2,198 |     34,050 |
| . (Files)                                                       |         12 |     15,283 |         18 |         21 |     15,322 |
| .github                                                         |          3 |        119 |          1 |         22 |        142 |
| .github\workflows                                               |          3 |        119 |          1 |         22 |        142 |
| src                                                             |         96 |     15,899 |        532 |      2,155 |     18,586 |
| src (Files)                                                     |          8 |        397 |         31 |         82 |        510 |
| src\api                                                         |          4 |         61 |          7 |         14 |         82 |
| src\assets                                                      |         36 |        439 |         83 |         15 |        537 |
| src\assets (Files)                                              |         17 |        420 |         83 |         15 |        518 |
| src\assets\icons                                                |         19 |         19 |          0 |          0 |         19 |
| src\components                                                  |          3 |      1,035 |         15 |        148 |      1,198 |
| src\config                                                      |          1 |         69 |          3 |          7 |         79 |
| src\plugins                                                     |          3 |         90 |         31 |         27 |        148 |
| src\router                                                      |          1 |        175 |         15 |         13 |        203 |
| src\store                                                       |         12 |        971 |        117 |        157 |      1,245 |
| src\types                                                       |          1 |         30 |          6 |          2 |         38 |
| src\utils                                                       |          7 |        208 |         43 |         31 |        282 |
| src\views                                                       |         20 |     12,424 |        181 |      1,659 |     14,264 |
| src\views\AdminChat                                             |          1 |        840 |         17 |        129 |        986 |
| src\views\Chat                                                  |          1 |        395 |          4 |         64 |        463 |
| src\views\Detail                                                |          2 |      1,389 |          7 |        160 |      1,556 |
| src\views\Explore                                               |          2 |      2,215 |         20 |        294 |      2,529 |
| src\views\Home                                                  |          2 |      1,465 |         40 |        193 |      1,698 |
| src\views\IndexView                                             |          1 |        421 |          8 |         54 |        483 |
| src\views\Likes                                                 |          1 |        419 |          7 |         68 |        494 |
| src\views\Mana                                                  |          1 |        502 |         15 |         63 |        580 |
| src\views\ManaCenter                                            |          1 |        385 |         10 |         49 |        444 |
| src\views\Moderation                                            |          1 |        261 |          3 |         32 |        296 |
| src\views\ModerationDetail                                      |          1 |        484 |          7 |         54 |        545 |
| src\views\NotFound404View                                       |          1 |         61 |          0 |         10 |         71 |
| src\views\Payment                                               |          1 |        323 |          1 |         49 |        373 |
| src\views\Profile                                               |          1 |        799 |         11 |        108 |        918 |
| src\views\ProfileSetup                                          |          1 |      1,352 |         21 |        178 |      1,551 |
| src\views\ReopenPage                                            |          1 |        182 |          0 |         30 |        212 |
| src\views\userCenter                                            |          1 |        931 |         10 |        124 |      1,065 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                        | language           | code       | comment    | blank      | total      |
